Occupation,Skill,Category,Skill Subcategory,Definition,How Skill is Utilized,Proficiency Level,Level 1 Example,Level 2 Example,Level 3 Example,Label,Frequency in Role,Skill Specificity,5-Year Demand Growth,Wage Premium
Product Managers,Problem Solving,Foundational & Leadership Skills,Critical Thinking and Problem Solving,"Problem Solving is the ability to identify issues, analyze them critically, develop potential solutions, and implement the most effective course of action to resolve problems and achieve objectives.","As a Product Manager, problem solving is crucial for identifying customer needs, market challenges, and technical constraints to deliver successful products. Product Managers often encounter complex issues related to product development, customer feedback, market demands, and resource constraints, requiring effective problem-solving skills.",Level 3,"At Level 1 proficiency, an individual demonstrates a basic ability to recognize problems, gather information, and propose simple solutions. They may require guidance and support in assessing the nuances of various issues.","At Level 2 proficiency, an individual can effectively analyze problems, evaluate multiple solutions, and make informed decisions. They can handle moderately complex issues independently and demonstrate a structured approach to problem solving.","At Level 3 proficiency, an individual excels in complex problem solving, leveraging creative thinking, data analysis, and strategic decision-making. They can tackle high-stakes challenges, navigate ambiguity, and drive innovative solutions effectively.",Durable Skill,40.6%,0.5%, 13.0%,#N/A
Product Managers,Product Lifecycle Management,Core Role-Specific Skills,Product Management,"Product Lifecycle Management involves the strategic planning, coordination, and management of a product throughout its entire lifecycle, from ideation to disposal.","As a Product Manager, Product Lifecycle Management is essential for defining product vision, developing product roadmaps, setting priorities for product features, overseeing product development processes, and ensuring successful product launch and market adoption.",Level 3,"At Level 1 proficiency, an individual understands the basic concepts of Product Lifecycle Management but may require guidance and supervision to apply these concepts effectively in a real-world product management setting.","At Level 2 proficiency, a person can independently apply Product Lifecycle Management principles and practices in product planning, development, and launch. They can effectively coordinate cross-functional teams and ensure alignment with business objectives throughout the product lifecycle.","At Level 3 proficiency, a professional is considered an expert in Product Lifecycle Management, demonstrating advanced strategic thinking, exceptional leadership skills, and a deep understanding of how to optimize product performance and profitability throughout its entire lifecycle.",Durable Skill,31.3%,25.2%, 18.9%,#N/A
Product Managers,Product Lining,Specialization,General Sales Practices,"Product lining involves strategizing and managing the lineup of products offered by a company, including determining the product mix, positioning, pricing strategies, and lifecycle management.","In the role of a Product Manager, product lining is utilized to develop and execute a comprehensive product strategy that aligns with the company's overall goals and market demands. This includes analyzing market trends, competitor offerings, and customer feedback to optimize the product lineup for success.",Level 2,"At Level 1 proficiency, an individual demonstrates a basic understanding of product lining concepts, such as identifying different product categories and basic market positioning strategies.","At Level 2 proficiency, a person is able to develop and implement a product lineup strategy that considers market segmentation, pricing strategies, and product lifecycle management effectively. They can analyze data and customer feedback to make informed decisions about the product mix.","At Level 3 proficiency, an individual has mastered product lining, demonstrating the ability to not only develop a cohesive product strategy but also adapt it quickly to changing market conditions. They can identify emerging trends, forecast future market demands, and make strategic decisions to capitalize on opportunities effectively.",Declining Skill,22.3%,14.7%,- 18.6%,#N/A
Product Managers,Product Marketing,Core Role-Specific Skills,Promotions and Campaigns,"Product Marketing involves understanding customer needs, market trends, and competition to promote and sell a product effectively.","Product Marketing is utilized by Product Managers to define target markets, create product positioning strategies, conduct market research, develop pricing strategies, and craft messaging and marketing campaigns to drive product adoption.",Level 3,"At Level 1 proficiency, an individual has a basic understanding of product marketing concepts such as target audience identification, value propositions, and basic competitive analysis.","At Level 2 proficiency, an individual can develop comprehensive product marketing strategies, conduct in-depth market research, analyze consumer behavior, and utilize various marketing channels for product promotion.","At Level 3 proficiency, an individual possesses an advanced understanding of product marketing tactics, can optimize marketing campaigns based on data analytics, has a deep knowledge of industry trends, and can lead cross-functional teams to execute complex product marketing initiatives.",High Value Skill,15.9%,15.8%,- 16.0%,5.0%
Product Managers,Product Requirements,Core Role-Specific Skills,Product Development,"Product Requirements involve gathering, documenting, and analyzing the needs and expectations of stakeholders regarding a product or service. This includes defining features, functionality, and constraints that guide the development process.","As a Product Manager, Product Requirements are crucial for defining the vision, strategy, and roadmap for a product. This skill is utilized to effectively communicate and prioritize requirements, aligning them with business goals and user needs.",Level 3,"At Level 1, a worker may be able to assist in collecting basic product requirements under supervision. They understand the significance of requirements but require guidance to structure and document them effectively.","At Level 2, a worker can independently gather and analyze product requirements from stakeholders. They are capable of translating high-level business objectives into detailed product features and working closely with cross-functional teams to ensure alignment.","At Level 3, an expert in Product Requirements can not only gather and analyze requirements but also anticipate future needs based on market trends and user feedback. They excel in creating comprehensive requirement documents and are adept at handling complex stakeholder expectations.",High Value Skill,24.2%,22.8%,- 4.7%,5.3%
Product Managers,Product Strategy,Core Role-Specific Skills,Product Management,"Product Strategy involves defining the long-term vision and goals for a product, aligning the product with market needs, and making decisions on what features to build and prioritize.","As a Product Manager, Product Strategy is essential for setting the direction of the product, identifying opportunities for growth, understanding customer needs, prioritizing features, and ensuring the product's roadmap aligns with the overall business goals.",Level 2,"At Level 1 proficiency, the individual is able to understand the basic concepts of Product Strategy, such as market research, competitive analysis, and defining product goals.","At Level 2 proficiency, the individual can develop comprehensive Product Strategies that align with both business objectives and customer needs. They can effectively prioritize features based on strategic goals.","At Level 3 proficiency, the individual is considered an expert in Product Strategy. They can anticipate market trends, identify new opportunities for product growth, and pivot the product strategy effectively in response to market changes.",High Value Skill,48.9%,49.0%, 18.5%,9.7%
Product Managers,Project Management,Baseline Applied Skills,Project Management,"Project Management involves planning, organizing, and overseeing the successful completion of a project. It includes defining project goals, creating schedules, allocating resources, managing budgets, and ensuring timely delivery.","In the role of a Product Manager, Project Management is crucial for leading cross-functional teams to develop, launch, and improve products. Product Managers use Project Management to define product requirements, set timelines, prioritize tasks, track progress, and communicate with stakeholders.",Level 2,"At Level 1 proficiency, a worker understands basic project management principles such as setting goals, creating simple project plans, and tracking tasks with the help of basic tools like spreadsheets.","At Level 2 proficiency, a worker demonstrates the ability to manage more complex projects involving multiple stakeholders, dependencies, and risks. They can use project management software effectively, conduct risk assessments, and adjust project plans as needed.","At Level 3 proficiency, a worker is an expert in Project Management with a deep understanding of advanced methodologies like Agile or Waterfall. They can manage large, strategic projects, lead teams effectively, optimize project processes, and resolve complex project issues.",Durable Skill,46.3%,5.4%, 1.9%,#N/A
Product Managers,Research,Foundational & Leadership Skills,General Science and Research,"Research involves the systematic investigation and study of materials and sources in order to establish facts and reach new conclusions. It involves gathering, analyzing, and interpreting information to answer questions or solve problems.","As a Product Manager, research skills are utilized to conduct market research, analyze customer needs and preferences, evaluate competitors, and gather insights to inform product development and strategic decision-making.",Level 2,"At Level 1 proficiency, an individual can conduct basic research tasks such as collecting data, organizing information, and summarizing findings with guidance and supervision.","At Level 2 proficiency, an individual can independently conduct in-depth research, analyze complex data sets, draw meaningful conclusions, and present actionable recommendations based on research findings.","At Level 3 proficiency, an individual possesses advanced research skills including the ability to design comprehensive research strategies, utilize diverse research methodologies, synthesize information from multiple sources, and anticipate future trends or market shifts.",Durable Skill,42.2%,2.0%, 15.1%,#N/A
Product Managers,Sales,Baseline Applied Skills,General Sales Practices,"Sales involves effectively communicating the value of a product or service to potential customers, building relationships, and addressing their needs to close deals. It requires strong persuasion, active listening, and problem-solving abilities to meet both customer and business goals.","Sales skills are utilized in the role of a Product Manager to understand customer needs, communicate product value propositions effectively, and drive product adoption and revenue growth.",Level 2,"At Level 1 proficiency, a Product Manager with sales skills can identify basic customer needs and articulate simple product benefits to potential customers.","At Level 2 proficiency, a Product Manager with sales skills can conduct more nuanced customer conversations, handle objections effectively, and tailor product pitches to specific customer segments.","At Level 3 proficiency, a Product Manager with sales skills can lead complex sales negotiations, create comprehensive sales strategies, and drive high-value deals to closure.",Declining Skill,72.2%,5.4%,- 11.6%,#N/A
Product Managers,Strategic Planning,Foundational & Leadership Skills,Critical Thinking and Problem Solving,"Strategic Planning involves setting clear goals, defining actionable steps to achieve those goals, and aligning resources and efforts to maximize outcomes in a structured and forward-thinking manner.","Product Managers utilize Strategic Planning to develop product roadmaps, prioritize features, define market positioning, anticipate market trends, allocate resources effectively, and make informed decisions to drive the success of their products.",Level 2,"At Level 1 proficiency, individuals can participate in strategic planning discussions, understand the basics of setting goals and objectives, and begin to grasp the importance of aligning actions with long-term vision.","At Level 2 proficiency, individuals can lead strategic planning initiatives, develop detailed plans with timelines and milestones, analyze market data to inform strategies, and evaluate the potential impact of strategic decisions on products and markets.","At Level 3 proficiency, individuals can create comprehensive strategic frameworks, integrate feedback from cross-functional teams and stakeholders, anticipate industry disruptions, adjust strategies swiftly in response to changing market dynamics, and demonstrate a track record of successful strategic implementations.",High Value Skill,11.0%,4.3%, 9.9%,5.3%
Product Managers,User Experience (UX),Specialization,User Interface and User Experience (UI/UX) Design,"User Experience (UX) involves understanding user interactions, conducting research, and collaborating with teams to ensure products meet user needs, focusing on usability, accessibility, and satisfaction.","In the role of a Product Manager, UX skills are essential for understanding user needs, designing user interfaces, conducting usability testing, and ensuring that the product meets the expectations and preferences of the target audience.",Level 1,"At Level 1 proficiency, an individual can conduct basic user research, identify high-level usability issues, and summarize user feedback to guide product improvements.","At Level 2 proficiency, a person can define user personas, contribute to wireframe development, facilitate user testing sessions, and synthesize findings to recommend enhancements that align with user needs.","At Level 3 proficiency, an individual demonstrates expertise in leveraging UX research insights to inform product strategy, prioritizing user-centric features, and collaborating cross-functionally to ensure cohesive and intuitive user experiences across platforms.",High Value Skill,22.3%,20.1%, 18.1%,5.5%
Product Managers,User Story,Core Role-Specific Skills,Product Management,"User Story is a concise description of a feature or functionality from an end-user perspective, focusing on the value it provides.","Product Managers use user stories to capture and communicate product requirements, align stakeholders on product vision, and guide development teams in creating user-centric solutions.",Level 2,"At Level 1 proficiency, a Product Manager can create basic user stories that outline simple features or requirements, but may need guidance in refining them for clarity and prioritizing based on user needs.","At Level 2 proficiency, a Product Manager can write detailed, well-defined user stories that are structured, focused on user outcomes, and can effectively collaborate with cross-functional teams to ensure alignment and feasibility.","At Level 3 proficiency, a Product Manager demonstrates mastery in crafting user stories that are not just functional requirements but also contribute to the overall product strategy, user experience, and business goals. They can handle complex scenarios, negotiate trade-offs, and prioritize effectively.",Durable Skill,21.7%,24.7%, 21.1%,#N/A
Product Managers,Workflow Management,Foundational & Leadership Skills,Process Improvement and Optimization,"Workflow management involves organizing, prioritizing, and overseeing tasks and processes to ensure efficiency and productivity within a specific set of procedures or guidelines.","Product Managers rely on workflow management to streamline product development processes, coordinate cross-functional teams, set timelines, and track progress towards product goals.",Level 2,"At Level 1 proficiency, an individual demonstrates basic understanding of workflow management concepts and is able to follow predefined workflows with guidance.","At Level 2 proficiency, the individual can design and optimize workflows, identify bottlenecks, implement improvements, and adapt to changing requirements with minimal supervision.","At Level 3 proficiency, the individual can create complex, scalable workflows, lead process automation initiatives, perform in-depth analysis for continuous improvement, and mentor others in workflow management best practices.",High Growth Skill,9.4%,2.1%, 32.1%,#N/A
Retail Salespersons,Bagging Merchandise,Core Role-Specific Skills,Retail Sales,Bagging merchandise involves efficiently and securely packaging purchased items in bags or containers for customers to transport.,"Retail salespersons utilize the skill of bagging merchandise to enhance customer service by ensuring that items are properly packed, handling delicate or fragile products with care, and maintaining a neat and organized presentation of goods.",Level 2,"At Level 1 proficiency, the individual demonstrates the ability to bag merchandise with basic competency, following general guidelines for packaging items and assisting customers in a satisfactory manner.","At Level 2 proficiency, the individual displays an advanced understanding of bagging techniques, such as efficiently arranging items to prevent damage, handling various product types appropriately, and accommodating customer preferences with ease.","At Level 3 proficiency, the individual is a master in bagging merchandise, possessing exceptional speed, accuracy, and attention to detail. They can handle complex or high-volume bagging tasks seamlessly, anticipate customer needs, and offer valuable suggestions for product packaging.",Declining Skill,8.4%,54.4%,- 3.8%,#N/A
Retail Salespersons,Cash Handling,Baseline Applied Skills,Cash Management,"Cash handling involves the process of receiving, counting, and giving out cash in financial transactions.","Retail Salespersons utilize cash handling skills when accepting cash payments from customers, providing change, and balancing cash registers at the end of shifts.",Level 2,"At Level 1 proficiency, an individual can accurately count and handle basic cash transactions under supervision.","At Level 2 proficiency, a person can handle a variety of cash transactions, including processing returns and exchanges, and is able to detect basic counterfeit currency.","At Level 3 proficiency, a worker is experienced in handling complex cash transactions, managing cash flow effectively, and implementing strong cash handling security measures.",Declining Skill,16.0%,40.3%, 1.2%,#N/A
Retail Salespersons,Cash Register,Baseline Applied Skills,Cash Register Operation,"Operating a cash register involves processing transactions, handling cash and card payments, performing refunds or exchanges, and providing customers with receipts.","Retail salespersons utilize cash register skills to efficiently and accurately manage customer purchases, maintain cash accountability, provide excellent customer service during checkout, and ensure smooth and secure transactions.",Level 2,"At Level 1 proficiency, an individual can effectively operate a basic cash register, handle simple transactions, and provide basic customer service during checkout.","At Level 2 proficiency, a person can proficiently operate advanced cash register systems, handle a variety of payment methods, manage more complex transactions such as discounts or promotions, and effectively resolve customer queries related to transactions.","At Level 3 proficiency, the individual demonstrates mastery in operating various types of cash registers, can troubleshoot technical issues, handle high-volume transactions efficiently, prevent fraud, and provide exceptional customer service under demanding situations.",Durable Skill,20.7%,55.3%, 27.8%,#N/A
Retail Salespersons,Communication,Foundational & Leadership Skills,Communication,"Communication involves the effective exchange of information, thoughts, ideas, and feelings through verbal, non-verbal, and written means to achieve understanding and convey messages clearly.","Retail Salespersons rely heavily on communication skills to interact with customers, understand their needs, provide product information, offer assistance, address concerns, and ultimately close sales. Effective communication also helps in building rapport, fostering customer loyalty, and resolving conflicts.",Level 2,"At Level 1 proficiency, a Retail Salesperson can communicate basic information about products or services to customers in a clear and polite manner. They may struggle with handling difficult customer interactions or conveying more nuanced details effectively.","At Level 2 proficiency, a Retail Salesperson can engage with customers in a more dynamic and persuasive manner. They can adapt their communication style based on customer cues, actively listen to understand needs, and provide personalized recommendations. They can also handle challenging situations with more confidence.","At Level 3 proficiency, a Retail Salesperson excels in communication by demonstrating exceptional listening skills, empathy, and the ability to build strong customer relationships. They can effectively upsell products, negotiate with customers, and diffuse complex or sensitive situations with professionalism and ease.",Durable Skill,39.5%,0.0%, 7.5%,#N/A
Retail Salespersons,Customer Engagement,Baseline Applied Skills,Customer Service,"Customer Engagement involves building and maintaining relationships with customers to ensure satisfaction, repeat business, and loyalty.","Retail Salespersons utilize the skill of Customer Engagement to interact with customers, understand their needs, offer assistance, provide product information, and create a positive shopping experience that encourages purchases.",Level 2,"At Level 1 proficiency, a worker in the role of Retail Salespersons demonstrates basic customer engagement skills such as greeting customers, answering simple queries, and assisting in locating products within the store.","At Level 2 proficiency, a worker in the role of Retail Salespersons shows an intermediate level of customer engagement skills including actively listening to customers, recommending products based on their needs, resolving minor issues, and upselling complementary items.","At Level 3 proficiency, a worker in the role of Retail Salespersons displays expert customer engagement skills such as anticipating customer preferences, providing personalized recommendations, handling complex customer situations with empathy and efficiency, and building long-term relationships that drive repeat business.",Declining Skill,3.4%,10.4%,- 37.9%,#N/A
Retail Salespersons,Customer Service,Baseline Applied Skills,Customer Service,"Customer Service is the act of providing assistance and support to customers before, during, and after a purchase.","Retail Salespersons heavily rely on customer service skills to interact with customers, understand their needs, answer questions, provide product recommendations, handle complaints, and ensure a positive shopping experience.",Level 2,"At Level 1 proficiency in Customer Service, a worker can greet customers politely, listen actively to their queries, and provide basic assistance with products or services.","At Level 2 proficiency, a worker can effectively engage with customers, demonstrate product features, handle customer complaints professionally, and personalize the shopping experience based on customer preferences.","A Level 3 proficiency in Customer Service involves excelling in conflict resolution, identifying upselling opportunities, building long-term customer relationships, and consistently exceeding customer expectations.",Declining Skill,86.5%,2.6%,- 0.7%,#N/A
Retail Salespersons,Demonstration Skills,Specialization,"Company, Product, and Service Knowledge","Demonstration skills involve the ability to showcase products or services effectively to potential customers. This can include demonstrating features, benefits, and unique selling points to engage and persuade customers.","In the role of Retail Salespersons, demonstration skills are essential for engaging with customers on the sales floor. Salespersons use these skills to demonstrate product functionalities, answer customer questions, address objections, and ultimately influence purchase decisions.",Level 2,"At Level 1 proficiency, a retail salesperson with basic demonstration skills can provide simple product demonstrations following a script or basic instructions. They may struggle with adapting demonstrations to different customer needs.","At Level 2 proficiency, a retail salesperson can confidently and effectively demonstrate a wide range of products or services without the need for scripted guidance. They can tailor their demonstrations to individual customer preferences and effectively highlight key features and benefits.","At Level 3 proficiency, a retail salesperson is a master of demonstration skills. They can expertly showcase products or services in a personalized manner that resonates with each customer. They excel in engaging and persuading customers through their demonstrations, leading to increased sales and customer satisfaction.",High Growth Skill,4.4%,9.5%, 45.9%,#N/A
Retail Salespersons,General Mathematics,Foundational & Leadership Skills,Mathematics and Mathematical Modeling,"General Mathematics involves the basic understanding and application of mathematical concepts such as arithmetic, algebra, geometry, and statistics in various real-life situations.","Retail Salespersons often use general mathematics skills to calculate prices, apply discounts, handle transactions, manage inventory, analyze sales data, and create reports. Understanding basic math helps them accurately process transactions, provide correct change, and interpret sales metrics.",Level 1,"At Level 1 proficiency, a worker can perform basic arithmetic calculations, understand percentages, and handle simple mathematical tasks involved in retail sales operations.","At Level 2 proficiency, a worker demonstrates a deeper understanding of mathematical concepts such as interpreting more complex data, analyzing trends, and making informed decisions based on mathematical calculations related to inventory management and sales performance.","At Level 3 proficiency, a worker has mastered advanced mathematical skills and can apply statistical analysis, forecasting techniques, and financial calculations to optimize sales strategies, pricing models, and inventory control effectively.",Declining Skill,8.7%,8.3%,- 22.1%,#N/A
Retail Salespersons,Greeting Customers,Core Role-Specific Skills,Customer Service,"Greeting Customers involves initiating contact with customers in a friendly and welcoming manner, acknowledging their presence, and assisting them with their needs or inquiries in a polite and informative way.","Retail Salespersons utilize the skill of Greeting Customers to create a positive first impression, establish rapport with customers, understand their preferences, provide guidance on products or services, and ultimately enhance the overall shopping experience.",Level 2,"At Level 1 proficiency, an individual can greet customers with basic courtesy, such as saying ""hello"" or ""welcome"", but may struggle with engaging in further conversation or tailoring interactions to customer needs.","At Level 2 proficiency, a worker can greet customers warmly and professionally, engage in polite small talk to establish rapport, actively listen to customer preferences, and offer help or guidance in a confident manner.","At Level 3 proficiency, an expert in Greeting Customers excels in personalizing interactions with customers, demonstrating advanced empathy and active listening skills, anticipating customer needs, resolving issues effectively, and consistently leaving a lasting positive impression.",Durable Skill,12.4%,31.2%, 14.5%,#N/A
Retail Salespersons,Inventory Management,Specialization,Inventory and Warehousing,"Inventory Management involves overseeing and controlling the flow of goods from manufacturers to warehouses and ultimately to retail shelves to meet consumer demand. It includes tracking inventory levels, ordering new stock, and optimizing inventory turnover.","Retail Salespersons utilize Inventory Management to ensure products are adequately stocked, minimize out-of-stock situations, prevent overstocking, identify fast-moving items, and address discrepancies between physical stock and records.",Level 2,"At Level 1 proficiency, a worker demonstrates basic understanding of inventory tracking, stock replenishment, and stock rotation principles. They can perform routine inventory counts and assist in restocking shelves.","At Level 2 proficiency, a worker possesses advanced knowledge in inventory forecasting, demand planning, and inventory optimization strategies. They can analyze trends, identify potential stock issues, and suggest improvements to inventory processes.","At Level 3 proficiency, a worker is an expert in Inventory Management, capable of designing and implementing comprehensive inventory control systems, conducting detailed analysis of inventory data, and developing strategic inventory management plans to maximize efficiency and profitability.",Durable Skill,4.5%,5.6%, 25.2%,#N/A
Retail Salespersons,Leadership,Foundational & Leadership Skills,Initiative and Leadership,"Leadership involves the ability to inspire, influence, and guide individuals or a team towards achieving common goals and objectives.","Retail Salespersons utilize leadership skills to motivate and guide team members, set a positive example for co-workers, handle challenging situations effectively, and drive sales performance.",Level 1,"At Level 1 proficiency, an individual is able to demonstrate basic leadership qualities such as effective communication, active listening, and the willingness to take on small leadership responsibilities within the retail setting.","At Level 2 proficiency, a retail salesperson can effectively lead a team, delegate tasks, provide constructive feedback, resolve conflicts, and inspire team members to achieve sales targets.","At Level 3 proficiency, a retail salesperson demonstrates exceptional leadership skills by creating and implementing strategic sales plans, mentoring and developing team members, fostering a positive work culture, and consistently exceeding sales goals.",Durable Skill,18.1%,1.5%, 27.2%,#N/A
Retail Salespersons,Lifting Ability,Specialization,Physical Abilities,Lifting Ability involves the capacity to safely lift and move objects of varying weights and sizes.,"Retail Salespersons may need to lift and carry stock items, move merchandise around the store, assist with unloading deliveries, and help customers with larger items.",Level 1,"At Level 1, a worker demonstrates the ability to lift and carry lighter objects with proper technique and guidance.","At Level 2, a worker can lift and handle moderate-weight items independently while following safety protocols.","At Level 3, an expert can lift heavy or bulky objects efficiently, safely, and without assistance, taking into account ergonomics and potential risks.",Durable Skill,19.6%,4.2%, 5.6%,#N/A
Retail Salespersons,Loading And Unloading,Specialization,Material Handling,"Loading and unloading involves the physical task of moving goods or merchandise onto and off of shelves, displays, or delivery vehicles.","Retail Salespersons utilize loading and unloading skills when restocking inventory, assisting with deliveries, arranging products on shelves or displays, and helping customers with moving items to the checkout counter.",Level 2,"At Level 1 proficiency, an individual can perform basic loading and unloading tasks under supervision. This may include simple lifting, carrying, and placement of items.","At Level 2 proficiency, a worker can independently handle a variety of products, use basic equipment like hand trucks or pallet jacks, and organize goods effectively in the store.","Individuals at Level 3 proficiency are adept at efficiently and safely handling a wide range of products, operating machinery such as forklifts or hoists, and troubleshooting loading and unloading challenges effectively.",Declining Skill,4.7%,5.4%,- 22.5%,#N/A
Retail Salespersons,Loss Prevention,Core Role-Specific Skills,Retail Sales,"Loss Prevention involves implementing strategies and practices to minimize theft, fraud, and inventory shrinkage in a retail setting. This includes monitoring and safeguarding merchandise, conducting security checks, and working to prevent potential losses.","Retail Salespersons utilize the skill of Loss Prevention to protect the store's assets, maintain a safe shopping environment for customers, and ensure that products are not stolen or damaged. They are responsible for identifying and addressing potential security risks and implementing appropriate measures to prevent losses.",Level 1,"At Level 1 proficiency, a worker in the role of Retail Salespersons would demonstrate basic understanding of Loss Prevention principles. This may include knowledge of basic security procedures, awareness of common theft tactics, and adherence to store policies related to loss prevention.","A Level 2 proficiency in Loss Prevention for a Retail Salesperson would involve a deeper understanding of security protocols and the ability to proactively identify areas of vulnerability. This may include conducting regular store audits, monitoring surveillance footage effectively, and collaborating with security personnel.","At Level 3 proficiency, a Retail Salesperson would be considered an expert in Loss Prevention. This level of proficiency involves developing and implementing comprehensive loss prevention programs, training other staff members on security measures, analyzing data to detect patterns of theft or fraud, and effectively responding to security incidents.",Durable Skill,13.0%,38.9%, 13.8%,#N/A
Retail Salespersons,Marketing,Specialization,Marketing Strategy and Techniques,"Marketing involves understanding customer needs and behaviors, developing products and services to meet those needs, and promoting them effectively to target audiences.","Retail Salespersons utilize marketing to attract customers, increase sales, promote products, and create engaging displays to drive foot traffic.",Level 1,"At Level 1 proficiency, a worker in marketing has basic knowledge of customer segmentation, product promotion strategies, and can assist in implementing marketing campaigns.","At Level 2 proficiency, a worker in marketing demonstrates a deeper understanding of market analysis, consumer behavior, pricing strategies, and can independently develop marketing plans for specific products or services.","At Level 3 proficiency, a worker in marketing is considered an expert in the field, capable of conducting complex market research, creating comprehensive marketing strategies across various channels, analyzing competitor activity, and forecasting market trends.",Declining Skill,7.9%,5.7%, 0.0%,13.4%
Retail Salespersons,Merchandise Displays,Specialization,Merchandising,Merchandise Displays involve arranging products in a visually appealing manner to attract customers and drive sales.,"Retail Salespersons use their expertise in Merchandise Displays to create visually appealing product displays that showcase items effectively, draw customers' attention, and ultimately increase sales.",Level 2,"At Level 1 proficiency, a worker can assist in setting up basic product displays following predefined guidelines from supervisors.","At Level 2 proficiency, a worker can independently create visually appealing product displays, understand basic principles of product placement and visual merchandising, and contribute to the overall store aesthetics.","At Level 3 proficiency, a worker demonstrates mastery in Merchandise Displays. They have an in-depth understanding of consumer behavior, trends in visual merchandising, and how to design displays that maximize sales and customer engagement.",Durable Skill,7.7%,40.5%, 14.6%,#N/A
Retail Salespersons,Merchandising,Specialization,Merchandising,"Merchandising involves planning and executing strategies to present products in a way that maximizes sales and profit. It includes activities such as product selection, pricing, display design, and inventory management.","Retail salespersons utilize merchandising skills to create visually appealing product displays, arrange store layout, set up promotional signage, and recommend products to customers in a way that enhances the overall shopping experience and influences purchase decisions.",Level 2,"At Level 1 proficiency, an individual understands the basic concepts of merchandising such as product placement and basic display techniques. They can assist in setting up displays under supervision.","At Level 2 proficiency, a person can independently plan and execute merchandising strategies. This includes analyzing sales data to make informed decisions, creating thematic displays, and adjusting product assortments based on customer trends.","At Level 3 proficiency, a professional has advanced expertise in merchandising. They can develop comprehensive merchandising plans, forecast trends, negotiate with suppliers for optimal product assortment, and drive sales through innovative display strategies.",Durable Skill,59.2%,93.3%, 6.7%,#N/A
Retail Salespersons,Planogram,Specialization,Merchandising,"Planogram refers to a visual representation or diagram that details the placement of products in a retail store according to a specific layout or design. It aims to optimize product visibility, accessibility, and overall store layout for maximizing sales and customer experience.","Retail Salespersons use the skill of planogram to set up displays, shelves, and product arrangements in accordance with the planograms provided by merchandisers or store managers. They ensure that products are positioned strategically to attract customer attention and drive sales.",Level 1,"At Level 1 proficiency, a worker would be able to understand basic planograms and follow instructions to implement them. This includes basic knowledge of product placement principles and the ability to execute simple planograms with guidance.","At Level 2 proficiency, a worker would have an intermediate understanding of planograms. They can interpret more complex planograms, make minor adjustments based on store layout or customer traffic patterns, and have a good grasp of visual merchandising concepts.","At Level 3 proficiency, a worker would be considered an expert in planogram implementation. They have a deep understanding of product positioning strategies, can create customized planograms tailored to specific promotions or seasonal changes, and optimize layouts for maximum sales impact.",Durable Skill,5.0%,23.9%, 30.2%,#N/A
Retail Salespersons,Prioritization,Foundational & Leadership Skills,Project Management,"Prioritization is the ability to determine the order of importance for tasks or objectives to maximize efficiency, effectiveness, and achieve desired outcomes.","Retail Salespersons use prioritization to manage tasks such as assisting customers, restocking inventory, handling transactions, and meeting sales goals, ensuring that critical activities are addressed promptly while maintaining excellent customer service.",Level 2,"At Level 1 proficiency, an individual can identify basic priorities, handle straightforward tasks in order of importance, and manage immediate customer needs with guidance.","At Level 2 proficiency, a person can independently assess and prioritize competing tasks, balancing customer interactions, inventory management, and sales objectives effectively.","At Level 3 proficiency, an individual excels at managing complex and dynamic priorities, proactively addressing urgent needs, delegating effectively when necessary, and ensuring all critical tasks are completed seamlessly.",Durable Skill,10.5%,3.1%, 19.3%,#N/A
Retail Salespersons,Problem Solving,Foundational & Leadership Skills,Critical Thinking and Problem Solving,"Problem Solving involves analyzing situations, identifying issues, evaluating options, and implementing effective solutions to reach successful outcomes.","Retail Salespersons utilize problem-solving skills to address customer complaints, resolve conflicts, find product alternatives, and handle unexpected situations in the store effectively.",Level 1,"At Level 1 proficiency, a Retail Salesperson can identify basic customer issues and follow predefined procedures to solve them with guidance.","At Level 2 proficiency, a Retail Salesperson can independently analyze more complex problems, think critically to find creative solutions, and adapt strategies to meet varying customer needs.","At Level 3 proficiency, a Retail Salesperson can handle intricate customer challenges effectively, innovate new approaches, and lead problem-solving initiatives within the retail environment.",High Growth Skill,7.2%,0.5%, 11.3%,#N/A
Retail Salespersons,Product Knowledge,Specialization,"Company, Product, and Service Knowledge","Product knowledge refers to a deep understanding of the products and services offered by a retailer, including features, benefits, pricing, and how they compare to competitors.","Retail salespersons heavily rely on product knowledge to assist customers effectively. They need to be able to answer customer inquiries, provide recommendations, and highlight the key selling points of various products.",Level 2,"At Level 1 proficiency, a retail salesperson demonstrates a basic understanding of the products they sell, including general features and basic pricing information.","At Level 2 proficiency, a retail salesperson possesses a more in-depth understanding of the products, including specific features, benefits, and how they meet customer needs. They can effectively communicate this information to customers.","At Level 3 proficiency, a retail salesperson is considered an expert in product knowledge. They have an extensive understanding of the entire product range, including technical specifications, industry trends, and competitive advantages. They can provide personalized recommendations and handle complex customer inquiries.",Declining Skill,17.7%,31.0%,- 12.0%,10.8%
